rank,year,school,overall,peer_assess,judges_assess,gpa25,gpa75,lsat25,lsat75,pct_emp_grad,pct_emp_9,accept,sf_ratio,bar_pass_pct,pass_rate,mid_gpa,mid_lsat
61,2015,University of Miami,45,2.7,3.2,3.16,3.6,155,160,32.3,68.8,53.13846154,12.6,81.31,79.32,3.38,157
64,2015,Case Western Reserve University,44,2.6,3.2,3.2,3.62,155,161,39,61.6,48.75,11.1,81.94,84.05,3.38,159
64,2015,Georgia State University,44,2.5,2.7,3.15,3.55,157,160,59.31,74.9,28.24074074,11.2,96.77,83.98,3.38,159
64,2015,University of Missouri,44,2.5,3,3.13,3.64,155,160,46.3,78.9,51.69340463,11.2,96.15,92.11,3.45,157
64,2015,Yeshiva University,44,2.8,3,3.2,3.65,156,162,31,60.5,43.00822562,14.1,84.97,81.55,3.45,160
68,2015,Loyola University Chicago,43,2.5,3.1,3.14,3.58,155,160,33.6,63.5,51.09510951,11.9,91.04,87.34,3.4,158
68,2015,Seton Hall University,43,2.3,3,3.23,3.69,152,159,56.4,76.8,50.32051282,13.6,84.1,77.88,3.5,157
68,2015,University of Denver,43,2.6,3,3.19,3.65,154,160,37.9,59.3,54.64852608,9.3,88.73,83.85,3.43,158
68,2015,University of Kansas,43,2.6,3.1,3.1,3.69,153,159,33.1,74.7,56.51162791,10.8,90.48,88.57,3.42,156
72,2015,American University,42,2.8,3.2,3.13,3.54,153,159,40.2,53.6,46.71143251,11,80.79,74,3.4,157
72,2015,Illinois Institute of Technology,42,2.5,2.8,3.16,3.6,153,159,29.4,65.2,54.71627208,10.8,94.84,87.34,3.43,158
72,2015,Lewis and Clark College,42,2.4,3,3.46,3.67,154,161,30.6,64.1,59.11780527,9.7,91.54,81,3.46,158
72,2015,Louisiana State University - Baton Rouge,42,2.2,2.8,3.13,3.66,153,159,36.8,83.9,46.22731614,18.7,77.97,63,3.43,156
72,2015,University of New Mexico,42,2.4,2.7,3.09,3.62,151,158,28.6,69.7,40.3125,8.6,90.91,89.17,3.42,154
72,2015,University of Tennessee - Knoxville,42,2.6,2.9,3.28,3.75,153,160,41.3,72.3,51.24069479,12.5,85.09,73,3.54,157
72,2015,University of Tulsa,42,2,2.7,3.08,3.74,152,158,41.8,79.1,38.17567568,10.5,87.23,84.04,3.43,155
79,2015,University of Cincinnati,41,2.4,3,3.21,3.65,155,159,30,64.3,60.97318769,9.8,89,84.05,3.51,158
79,2015,University of San Diego,41,2.7,2.9,3.3,3.63,156,161,37,51.7,46.78153446,11.9,76.29,66,3.5,159
81,2015,Rutgers University - Camden,40,2.4,3,2.83,3.6,154,160,50.7,68.1,29,9.3,84.1,77.88,3.29,158
81,2015,University of Pittsburgh,40,2.6,3.2,3.16,3.61,154,161,32.4,64.4,49.63012777,14.2,83.33,81.67,3.42,158
83,2015,Brooklyn Law School,39,2.5,2.9,3.16,3.63,157,161,37.6,57.5,43.88565379,16.2,84.88,74,3.4,159
83,2015,Rutgers University - Newark,39,2.4,3,3.01,3.54,154,159,48.1,65,39.41684665,14.8,76.28,77.88,3.34,157
83,2015,University of Nevada - Las Vegas,39,2.3,2.5,3.26,3.71,154,160,31.1,63.4,32.10023866,11.7,78.57,73,3.45,158
83,2015,West Virginia University,39,2.1,2.8,3.1,3.72,151,157,59.9,81,61.6747182,10.1,76.92,81.57,3.46,153
87,2015,Indiana University - Indianapolis,38,2.4,3.1,3.18,3.67,150,157,33.9,61.7,58.25136612,14.8,78.7,79.43,3.45,154
87,2015,Loyola Marymount University,38,2.6,3.1,3.3,3.62,156,161,22.9,47.9,47,15.1,77.22,66,3.47,159
87,2015,Michigan State University,38,2.3,2.9,3.27,3.71,152,159,34.4,58.8,49.64459409,13.8,69.86,64.32,3.52,157
87,2015,Seattle University,38,2.3,3,3.03,3.55,153,158,21.1,61,57.76914539,12.2,71.43,67,3.37,156
87,2015,University of Louisville,38,2.2,2.9,3,3.58,152,157,50.4,79.5,65.5540721,13.1,83.67,82.24,3.31,155
87,2015,Wayne State University,38,2.1,2.7,3.17,3.63,153,159,23.2,64.9,49.17407878,12.9,71.43,64.32,3.43,157
93,2015,Marquette University,37,2.4,3,2.97,3.51,151,157,32.1,67.9,75,15.4,100,86.19,3.28,155
93,2015,Northeastern University,37,2.3,2.9,3.27,3.69,153,162,,51.6,43.67963976,15.6,84.43,83,3.53,161
93,2015,St. Louis University,37,2.1,3.1,3.15,3.66,151,158,49.3,73.2,59,13.2,92.59,92,3.41,155
93,2015,Stetson University,37,2.1,2.7,3.11,3.57,152,158,,68.9,44.43907157,14.4,89.27,79.32,3.37,154
93,2015,University of New Hampshire School of Law,37,1.9,2.7,3.05,3.62,153,159,44.2,68.1,53.91566265,14.6,91.84,84,3.39,157
93,2015,University of South Carolina,37,2.3,2.8,3.05,3.54,153,158,35.4,76.1,56.95364238,14.1,81.05,72.79,3.27,155
93,2015,Villanova University,37,2.3,3.3,3.24,3.74,153,160,36.3,59.4,55.21472393,15.1,90.91,81.67,3.56,157
100,2015,Florida International University,36,1.7,2,3.1,3.73,151,158,,76.1,26.20948802,11.3,81.4,79.32,3.58,156
100,2015,SUNY Buffalo Law School,36,2.3,2.7,3.21,3.66,150,158,33,62.2,51.91304348,12.6,82.44,74,3.48,154
100,2015,University of Hawaii - Manoa,36,2.4,2.6,3.03,3.61,155,159,25.5,66,33.27305606,8.6,74.39,75.11,3.32,157
100,2015,University of Oregon,36,2.7,3.3,3.03,3.55,156,161,27.3,49.1,49.46081955,15.2,82.28,81,3.36,158
104,2015,Mercer University,35,2,2.6,3.06,3.6,148,154,32.4,78.2,63.01775148,13.6,87,83.98,3.38,152
104,2015,University of Mississippi,35,2.2,2.7,3.13,3.67,152,157,36.4,66.1,41.14636643,13.2,72,80.68,3.46,155
104,2015,University of Missouri - Kansas City,35,2.2,2.7,2.92,3.53,150,155,,75.2,59.19629057,14,95.7,92.11,3.26,152
107,2015,Gonzaga University,34,2.2,3,3.01,3.5,152,156,,68.7,61.8510158,14.8,81.18,67,3.27,154
107,2015,Santa Clara University,34,2.4,3.1,2.97,3.42,155,160,36.6,56.4,56.88991532,11,71.17,66,3.22,157
107,2015,St. John's University,34,2.2,2.9,3.17,3.62,153,158,32.7,60.9,57.02778896,16.6,78.4,74,3.39,156
107,2015,Syracuse University,34,2.3,2.9,3.06,3.45,152,156,37.8,55.7,59.06077348,12.3,76.72,74,3.29,155
107,2015,Texas Tech University,34,2,2.7,3.15,3.68,152,158,26.5,71.2,50.13623978,17,83.33,82.06,3.46,155
107,2015,The Catholic University of America,34,2.3,2.9,2.92,3.37,151,157,37.4,62.6,55.37720706,10.3,81.37,78.49,3.21,154
113,2015,CUNY,33,2,2.6,3.04,3.64,153,157,,59.6,30.02645503,9.1,82.26,74,3.37,154
113,2015,Drake University,33,1.9,2.8,2.97,3.49,149,158,30.9,74.8,78.99159664,11.9,89.9,93,3.23,153
115,2015,Cleveland State University ,32,1.9,2.6,3.02,3.62,150,155,28.4,60.2,49.63414634,11.5,85.71,84.05,3.31,152
115,2015,Creighton University,32,1.9,3,2.95,3.55,149,155,33.9,69.1,76.69376694,12.6,94.83,93,3.23,152
115,2015,Washburn University,32,1.9,2.5,2.97,3.62,149,155,30.8,74.4,58.41423948,9.6,82.69,88.57,3.3,153
118,2015,Albany Law School,31,2,2.5,3.13,3.59,150,156,30.9,61.4,59.68147527,12.7,81.09,74,3.38,153
118,2015,Quinnipiac University,31,1.9,2.2,3.05,3.58,151,157,23.2,68.2,53.24553151,11.1,88.79,82,3.34,154
118,2015,University of Idaho,31,2,2.6,2.93,3.51,149,156,,65.4,55.74272588,13.6,85.29,85.56,3.25,152
121,2015,Campbell University,30,1.5,2.3,3.02,3.59,151,156,19.3,77.9,53.81165919,17.1,94.53,79.03,3.27,152
121,2015,DePaul University,30,2.3,2.8,3.02,3.53,151,156,15.8,51.9,63.56589147,13.9,87.5,87.34,3.29,154
121,2015,Duquesne University,30,1.8,2.7,3.21,3.64,150,155,36.8,65.7,68.35066865,14,85.23,81.67,3.42,152
121,2015,Hamline University,30,1.8,2.4,3.08,3.53,149,156,27.4,72.6,62.75362319,15.3,84.03,90.66,3.3,153
121,2015,University of Akron,30,1.8,2.3,3.03,3.63,150,156,23.7,69.1,54.85981308,11.8,83.96,84.05,3.34,153
121,2015,University of Arkansas - Little Rock,30,2.2,2.7,2.94,3.58,147,155,,68.3,52.79831045,16.1,74.34,76.39,3.25,151
121,2015,University of Montana,30,2,2.5,3,3.61,151,157,50,63.4,57.53424658,14.2,86.67,92.68,3.32,154
121,2015,Willamette University,30,2,2.9,2.81,3.36,148,154,23.2,72,72.78106509,11.8,81.48,81,3.08,151
129,2015,Drexel University,29,2,2.4,3.11,3.57,152,157,31,56.8,45.14218009,13.5,80.87,81.67,3.35,155
129,2015,University of Maine,29,2.2,2.7,3.13,3.58,152,158,34.5,48.3,45.43147208,11.9,69.12,73,3.36,155
129,2015,University of North Dakota,29,1.9,2.6,3.02,3.53,146,154,,77.8,49.34725849,18.3,78.26,80.99,3.23,150
129,2015,University of St. Thomas,29,1.8,2.6,3.03,3.66,150,159,29.8,59.6,71.64804469,12.8,88.5,90.66,3.37,155
129,2015,University of Wyoming,29,2,2.8,3.1,3.63,149,156,48,65.3,59.69162996,10.1,61.11,59.6,3.35,151
129,2015,Vermont Law School,29,2.1,2.8,2.91,3.48,147,155,32,58.3,82.70481144,15.5,76.09,69,3.22,151
135,2015,Hofstra University,28,2.2,2.8,2.8,3.45,151,157,24,57.9,55.78435043,18.1,81.52,74,3.16,154
135,2015,Howard University,28,2.2,2.8,2.87,3.34,148,154,45,56.3,41.19815668,16.5,41.82,74,3.13,151
135,2015,Samford University,28,1.8,2.8,2.88,3.5,148,155,37.3,68.1,79.52314165,16.9,96.43,76,3.25,150
135,2015,University of Baltimore,28,2,2.6,2.87,3.45,150,155,48.7,73.5,63.23964497,14.5,84.7,78.49,3.23,152
135,2015,William Mitchell College of Law,28,1.8,2.4,3,3.56,149,157,27.4,67.7,71,20,90.16,90.66,3.33,154
140,2015,Chapman University,26,1.8,2.4,3.07,3.51,155,160,24.2,47.8,50.62093436,10,80,66,3.27,158
140,2015,New York Law School,26,1.9,2.6,2.87,3.43,149,153,,55.2,58.41671572,16.9,67.2,74,3.17,151
140,2015,Pace University,26,1.9,2.5,2.92,3.51,147,153,30.4,55.2,60.02393776,12.1,77.63,74,3.21,151
140,2015,University of Memphis,26,1.8,2.1,3,3.6,151,155,29.1,67.2,46.24183007,15.5,89.08,73,3.24,153
140,2015,University of Toledo,26,1.8,2.4,3,3.6,148,155,25.2,64.6,58.87850467,11.7,79.31,84.05,3.33,152
145,2015,University of South Dakota,25,1.8,2.4,2.93,3.56,144,150,36.8,78.9,80.58608059,13.6,87.5,86.27,3.15,147
146,2015,South Texas College of Law,24,1.7,2.2,2.93,3.39,148,154,,75.3,62.91005291,19.7,84.12,82.06,3.15,151
146,2015,University of the Pacific,24,1.9,2.6,3,3.48,151,159,13.4,71.1,68.02403204,14.9,71.14,66,3.23,154
