rank,year,school,overall,peer_assess,judges_assess,gpa25,gpa75,lsat25,lsat75,pct_emp_grad,pct_emp_9,accept,sf_ratio,bar_pass_pct,pass_rate,mid_gpa,mid_lsat
50,2016,Tulane University,52,3,3.3,3.18,3.61,157,163,36.1,65.2,51,11.2,66.3,58,3.395,160
52,2016,Pepperdine University,51,2.6,3.3,3.28,3.71,153,162,36.2,64.8,46,11.9,80.9,65,3.495,157.5
52,2016,Temple University,51,2.6,3,3.18,3.66,156,162,44.1,70.2,42,9.6,90,81,3.42,159
52,2016,University of Richmond,51,2.5,3,3.21,3.62,155,162,50.7,71.8,34,9.2,78.6,77,3.415,158.5
52,2016,University of Tennessee - Knoxville,51,2.6,2.9,3.44,3.85,154,160,49.1,76,40,9.3,94.3,82,3.645,157
56,2016,Baylor University,50,2.4,3.3,3.3,3.69,155,162,35.8,73.9,30,13.8,97,85,3.495,158.5
56,2016,Georgia State University,50,2.5,2.7,3.12,3.61,155,160,70.8,78.5,28,10.4,94.4,85,3.365,157.5
56,2016,University of Nebraska - Lincoln,50,2.4,3.1,3.41,3.88,152,159,51.6,76.6,68,10.5,86.7,77,3.645,155.5
59,2016,Case Western Reserve University,49,2.5,3.1,3.24,3.63,157,162,34.5,70.7,33,10.6,87.2,86,3.435,159.5
59,2016,University of California,49,3.1,3.8,3.21,3.62,155,161,31.4,47.2,49,14.1,74.2,65,3.415,158
59,2016,University of Houston,49,2.5,2.7,3.21,3.62,155,161,51.9,77.8,42,8.2,88.2,85,3.415,158
59,2016,University of Missouri,49,2.6,3,3.08,3.72,154,160,40.5,78.6,49,10.4,93.3,90,3.4,157
63,2016,Seton Hall University,48,2.3,3,3.14,3.71,152,159,58.3,77.7,50,10.6,87.8,79,3.425,155.5
63,2016,University of Connecticut,48,2.8,2.7,3.15,3.6,155,160,28.6,59.9,54,9.6,84.3,81,3.375,157.5
63,2016,University of Kentucky,48,2.5,3.1,3.22,3.71,152,158,56.4,84.2,59,11.1,90.2,81,3.465,155
63,2016,University of Miami,48,2.7,3.1,3.19,3.63,155,160,39.3,70.5,51,12.1,81.6,78,3.41,157.5
67,2016,University of Denver,47,2.7,3,3.1,3.62,153,159,37.1,64.8,62,9.5,95.7,82,3.36,156
67,2016,University of Kansas,47,2.6,3.1,3.2,3.69,153,161,30.1,76.9,57,10.8,87.9,89,3.445,157
67,2016,University of Nevada - Las Vegas,47,2.3,2.5,3.06,3.62,154,161,43.9,71.2,35,10.2,75.4,74,3.34,157.5
67,2016,University of Oklahoma,47,2.4,3.1,3.24,3.76,155,158,46.7,81,43,13.9,88.1,86,3.5,156.5
71,2016,American University,46,2.8,3.2,3.13,3.54,152,158,50.7,60.6,50,11,74.6,76,3.335,155
71,2016,Pennsylvania State University,46,2.2,3.1,3.3,3.79,153,160,29.1,52.3,46,8.6,94.3,81,3.545,156.5
71,2016,University of New Mexico,46,2.4,2.7,3.07,3.74,150,157,57,76.3,44,8.7,85.4,91,3.405,153.5
71,2016,University of San Diego,46,2.6,2.9,3.23,3.66,155,161,42.5,60.1,47,10.8,75,65,3.445,158
75,2016,Loyola Marymount University,45,2.5,3.1,3.21,3.62,156,161,30.3,59.1,47,14.8,84.7,65,3.415,158.5
75,2016,University of Arkansas - Fayetteville,45,2.3,2.9,3.24,3.74,151,157,40.9,79.5,60,11.5,85.7,76,3.49,154
75,2016,Yeshiva University,45,2.7,2.9,3.25,3.67,155,162,33.2,61.6,52,12.9,84.7,76,3.46,158.5
78,2016,Brooklyn Law School,44,2.5,2.7,3.05,3.53,153,159,48.1,69,53,16,92.7,76,3.29,156
78,2016,Illinois Institute of Technology,44,2.5,2.8,3.17,3.62,152,159,35.8,67.4,62,10.8,93,88,3.395,155.5
78,2016,Loyola University Chicago,44,2.4,3.1,3.05,3.52,155,159,38.8,64.7,52,12.2,88.3,88,3.285,157
78,2016,University of Pittsburgh,44,2.6,3.2,3.09,3.68,152,160,29.8,68.2,44,11.9,80.3,81,3.385,156
82,2016,St. John's University,43,2.2,2.8,3.19,3.64,153,159,36.6,67.3,46,13.9,87.6,76,3.415,156
82,2016,University of Cincinnati,43,2.3,2.9,3.22,3.7,151,159,36.2,69.1,60,8.4,89,86,3.46,155
82,2016,University of Hawaii - Manoa,43,2.4,2.6,3.07,3.6,152,159,35.8,71.6,38,7.9,82.6,82,3.335,155.5
82,2016,University of Oregon,43,2.6,3.2,2.97,3.56,154,159,27.8,62.9,54,11.2,77.6,80,3.265,156.5
82,2016,University of Tulsa,43,1.9,2.7,3.12,3.73,151,158,43.8,78.6,33,9.8,85.3,86,3.425,154.5
87,2016,Northeastern University,42,2.3,2.8,3.25,3.68,153,162,20.2,55.5,38,12.7,88.3,86,3.465,157.5
87,2016,Rutgers University - Newark,42,2.4,2.9,3.05,3.54,153,159,41.9,64.8,44,14.8,70.4,79,3.295,156
87,2016,St. Louis University,42,2.2,3,3.19,3.65,151,158,48.2,67.4,62,9.2,91.3,90,3.42,154.5
87,2016,SUNY Buffalo Law School,42,2.2,2.7,3.11,3.66,151,157,40.3,71.2,56,10,83,76,3.385,154
87,2016,Syracuse University,42,2.2,2.9,3.19,3.55,153,157,38.7,66.7,56,10.2,85.6,76,3.37,155
87,2016,University of New Hampshire School of Law,42,1.9,2.6,3.16,3.71,152,158,49.5,76.6,48,12,83.7,76,3.435,155
87,2016,Villanova University,42,2.3,3.2,3.33,3.72,152,159,40.8,63.3,51,15.4,86.6,81,3.525,155.5
